key,value,date
SPDC,17,08/10/09
SPDC,9,09/01/09
SPDC,2,10/14/09
SPDC,11,02/15/10
SPDC,4,03/08/10
SPDC,14,04/13/10
SPDC,3,05/05/10
SPDC,13,06/07/10
SPDC,10,07/13/10
SPDC,12,08/06/10
SPDC,7,09/02/10
SPDC,11,10/04/10
SPDC,5,11/12/10
SPDC,0,01/31/11
SPDC,36,02/11/11
SPDC,55,03/02/11
SPDC,33,04/04/11
SPDC,37,05/01/11
SPDC,9,06/07/11
SPDC,40,07/05/11
SPDC,52,08/01/11
SPDC,31,09/10/11
SPDC,70,10/01/11
SPDC,28,11/01/11
SPDC,0,12/06/11
SPDC,58,01/03/12
SPDC,85,02/01/12
SPDC,12,03/01/12
SPDC,0,04/01/12
SPDC,175,05/01/12
SPDC,23,06/01/12
SPDC,0,07/01/12
SPDC,131,08/06/12
SPDC,0,09/01/12
SPDC,74,10/01/12
SPDC,194,11/01/12
SPDC,209,12/01/12
SPDC,237,01/01/13
SPDC,21,02/01/13
SPDC,0,03/01/13
SPDC,200,04/01/13
SPDC,0,05/01/13
SPDC,0,06/01/13
SPDC,235,07/01/13
SPDC,54,08/01/13
SPDC,233,09/02/13
SPDC,55,10/01/13
SPDC,0,11/01/13
SPDC,0,12/01/13
DSDC,0,08/10/09
DSDC,0,09/01/09
DSDC,0,10/14/09
DSDC,0,02/15/10
DSDC,0,03/08/10
DSDC,0,04/13/10
DSDC,0,05/05/10
DSDC,0,06/07/10
DSDC,0,07/13/10
DSDC,0,08/06/10
DSDC,0,09/02/10
DSDC,0,10/04/10
DSDC,0,11/12/10
DSDC,0,01/31/11
DSDC,0,02/11/11
DSDC,0,03/02/11
DSDC,0,04/04/11
DSDC,0,05/01/11
DSDC,0,06/07/11
DSDC,5,07/05/11
DSDC,39,08/01/11
DSDC,57,09/10/11
DSDC,70,10/01/11
DSDC,65,11/01/11
DSDC,106,12/06/11
DSDC,95,01/03/12
DSDC,113,02/01/12
DSDC,219,03/01/12
DSDC,141,04/01/12
DSDC,195,05/01/12
DSDC,200,06/01/12
DSDC,112,07/01/12
DSDC,158,08/06/12
DSDC,414,09/01/12
DSDC,114,10/01/12
DSDC,524,11/01/12
DSDC,305,12/01/12
DSDC,247,01/01/13
DSDC,200,02/01/13
DSDC,662,03/01/13
DSDC,183,04/01/13
DSDC,513,05/01/13
DSDC,322,06/01/13
DSDC,255,07/01/13
DSDC,259,08/01/13
DSDC,702,09/02/13
DSDC,413,10/01/13
DSDC,399,11/01/13
DSDC,168,12/01/13
DIDC,0,08/10/09
DIDC,0,09/01/09
DIDC,0,10/14/09
DIDC,0,02/15/10
DIDC,0,03/08/10
DIDC,0,04/13/10
DIDC,0,05/05/10
DIDC,0,06/07/10
DIDC,0,07/13/10
DIDC,0,08/06/10
DIDC,0,09/02/10
DIDC,0,10/04/10
DIDC,0,11/12/10
DIDC,0,01/31/11
DIDC,0,02/11/11
DIDC,0,03/02/11
DIDC,0,04/04/11
DIDC,0,05/01/11
DIDC,0,06/07/11
DIDC,0,07/05/11
DIDC,0,08/01/11
DIDC,0,09/10/11
DIDC,0,10/01/11
DIDC,0,11/01/11
DIDC,0,12/06/11
DIDC,0,01/03/12
DIDC,0,02/01/12
DIDC,0,03/01/12
DIDC,0,04/01/12
DIDC,0,05/01/12
DIDC,0,06/01/12
DIDC,0,07/01/12
DIDC,0,08/06/12
DIDC,0,09/01/12
DIDC,65,10/01/12
DIDC,87,11/01/12
DIDC,75,12/01/12
DIDC,106,01/01/13
DIDC,94,02/01/13
DIDC,122,03/01/13
DIDC,85,04/01/13
DIDC,0,05/01/13
DIDC,52,06/01/13
DIDC,103,07/01/13
DIDC,91,08/01/13
DIDC,66,09/02/13
DIDC,107,10/01/13
DIDC,65,11/01/13
DIDC,0,12/01/13
DVDC,0,08/10/09
DVDC,0,09/01/09
DVDC,0,10/14/09
DVDC,0,02/15/10
DVDC,0,03/08/10
DVDC,0,04/13/10
DVDC,0,05/05/10
DVDC,0,06/07/10
DVDC,0,07/13/10
DVDC,0,08/06/10
DVDC,0,09/02/10
DVDC,0,10/04/10
DVDC,0,11/12/10
DVDC,0,01/31/11
DVDC,0,02/11/11
DVDC,0,03/02/11
DVDC,0,04/04/11
DVDC,0,05/01/11
DVDC,0,06/07/11
DVDC,0,07/05/11
DVDC,0,08/01/11
DVDC,0,09/10/11
DVDC,0,10/01/11
DVDC,0,11/01/11
DVDC,0,12/06/11
DVDC,0,01/03/12
DVDC,0,02/01/12
DVDC,0,03/01/12
DVDC,0,04/01/12
DVDC,0,05/01/12
DVDC,0,06/01/12
DVDC,0,07/01/12
DVDC,0,08/06/12
DVDC,0,09/01/12
DVDC,0,10/01/12
DVDC,0,11/01/12
DVDC,0,12/01/12
DVDC,0,01/01/13
DVDC,97,02/01/13
DVDC,147,03/01/13
DVDC,160,04/01/13
DVDC,134,05/01/13
DVDC,156,06/01/13
DVDC,112,07/01/13
DVDC,138,08/01/13
DVDC,20,09/02/13
DVDC,183,10/01/13
DVDC,247,11/01/13
DVDC,84,12/01/13
DSMD,0,08/10/09
DSMD,0,09/01/09
DSMD,0,10/14/09
DSMD,0,02/15/10
DSMD,0,03/08/10
DSMD,0,04/13/10
DSMD,0,05/05/10
DSMD,0,06/07/10
DSMD,0,07/13/10
DSMD,0,08/06/10
DSMD,0,09/02/10
DSMD,0,10/04/10
DSMD,0,11/12/10
DSMD,0,01/31/11
DSMD,0,02/11/11
DSMD,0,03/02/11
DSMD,0,04/04/11
DSMD,0,05/01/11
DSMD,0,06/07/11
DSMD,0,07/05/11
DSMD,0,08/01/11
DSMD,0,09/10/11
DSMD,0,10/01/11
DSMD,0,11/01/11
DSMD,0,12/06/11
DSMD,0,01/03/12
DSMD,0,02/01/12
DSMD,0,03/01/12
DSMD,0,04/01/12
DSMD,0,05/01/12
DSMD,0,06/01/12
DSMD,0,07/01/12
DSMD,0,08/06/12
DSMD,0,09/01/12
DSMD,0,10/01/12
DSMD,0,11/01/12
DSMD,7,12/01/12
DSMD,112,01/01/13
DSMD,88,02/01/13
DSMD,276,03/01/13
DSMD,176,04/01/13
DSMD,111,05/01/13
DSMD,97,06/01/13
DSMD,125,07/01/13
DSMD,129,08/01/13
DSMD,188,09/02/13
DSMD,109,10/01/13
DSMD,111,11/01/13
DSMD,88,12/01/13
