key,value,date
DVDC,0,08/10/09
DVDC,0,09/01/09
DVDC,0,10/14/09
DVDC,0,02/15/10
DVDC,0,03/08/10
DVDC,0,04/13/10
DVDC,0,05/05/10
DVDC,0,06/07/10
DVDC,0,07/13/10
DVDC,0,08/06/10
DVDC,0,09/02/10
DVDC,0,10/04/10
DVDC,0,11/12/10
DVDC,0,01/31/11
DVDC,0,02/11/11
DVDC,0,03/02/11
DVDC,0,04/04/11
DVDC,0,05/01/11
DVDC,0,06/07/11
DVDC,0,07/05/11
DVDC,0,08/01/11
DVDC,0,09/10/11
DVDC,0,10/01/11
DVDC,0,11/01/11
DVDC,0,12/06/11
DVDC,0,01/03/12
DVDC,0,02/01/12
DVDC,0,03/01/12
DVDC,0,04/01/12
DVDC,0,05/01/12
DVDC,0,06/01/12
DVDC,0,07/01/12
DVDC,0,08/06/12
DVDC,0,09/01/12
DVDC,0,10/01/12
DVDC,0,11/01/12
DVDC,0,12/01/12
DVDC,0,01/01/13
DVDC,68,02/01/13
DVDC,105,03/01/13
DVDC,117,04/01/13
DVDC,96,05/01/13
DVDC,114,06/01/13
DVDC,82,07/01/13
DVDC,100,08/01/13
DVDC,12,09/02/13
DVDC,134,10/01/13
DVDC,180,11/01/13
DVDC,60,12/01/13
SPDC,6,08/10/09
SPDC,1,09/01/09
SPDC,0,10/14/09
SPDC,7,02/15/10
SPDC,3,03/08/10
SPDC,6,04/13/10
SPDC,1,05/05/10
SPDC,6,06/07/10
SPDC,3,07/13/10
SPDC,3,08/06/10
SPDC,1,09/02/10
SPDC,5,10/04/10
SPDC,2,11/12/10
SPDC,0,01/31/11
SPDC,20,02/11/11
SPDC,32,03/02/11
SPDC,19,04/04/11
SPDC,20,05/01/11
SPDC,4,06/07/11
SPDC,23,07/05/11
SPDC,30,08/01/11
SPDC,22,09/10/11
SPDC,45,10/01/11
SPDC,15,11/01/11
SPDC,0,12/06/11
SPDC,38,01/03/12
SPDC,56,02/01/12
SPDC,6,03/01/12
SPDC,0,04/01/12
SPDC,122,05/01/12
SPDC,14,06/01/12
SPDC,0,07/01/12
SPDC,92,08/06/12
SPDC,0,09/01/12
SPDC,48,10/01/12
SPDC,137,11/01/12
SPDC,147,12/01/12
SPDC,171,01/01/13
SPDC,13,02/01/13
SPDC,0,03/01/13
SPDC,146,04/01/13
SPDC,0,05/01/13
SPDC,0,06/01/13
SPDC,169,07/01/13
SPDC,31,08/01/13
SPDC,167,09/02/13
SPDC,33,10/01/13
SPDC,0,11/01/13
SPDC,0,12/01/13
DIDC,0,08/10/09
DIDC,0,09/01/09
DIDC,0,10/14/09
DIDC,0,02/15/10
DIDC,0,03/08/10
DIDC,0,04/13/10
DIDC,0,05/05/10
DIDC,0,06/07/10
DIDC,0,07/13/10
DIDC,0,08/06/10
DIDC,0,09/02/10
DIDC,0,10/04/10
DIDC,0,11/12/10
DIDC,0,01/31/11
DIDC,0,02/11/11
DIDC,0,03/02/11
DIDC,0,04/04/11
DIDC,0,05/01/11
DIDC,0,06/07/11
DIDC,0,07/05/11
DIDC,0,08/01/11
DIDC,0,09/10/11
DIDC,0,10/01/11
DIDC,0,11/01/11
DIDC,0,12/06/11
DIDC,0,01/03/12
DIDC,0,02/01/12
DIDC,0,03/01/12
DIDC,0,04/01/12
DIDC,0,05/01/12
DIDC,0,06/01/12
DIDC,0,07/01/12
DIDC,0,08/06/12
DIDC,0,09/01/12
DIDC,44,10/01/12
DIDC,58,11/01/12
DIDC,55,12/01/12
DIDC,66,01/01/13
DIDC,65,02/01/13
DIDC,79,03/01/13
DIDC,54,04/01/13
DIDC,0,05/01/13
DIDC,32,06/01/13
DIDC,66,07/01/13
DIDC,59,08/01/13
DIDC,41,09/02/13
DIDC,75,10/01/13
DIDC,45,11/01/13
DIDC,0,12/01/13
DSDC,0,08/10/09
DSDC,0,09/01/09
DSDC,0,10/14/09
DSDC,0,02/15/10
DSDC,0,03/08/10
DSDC,0,04/13/10
DSDC,0,05/05/10
DSDC,0,06/07/10
DSDC,0,07/13/10
DSDC,0,08/06/10
DSDC,0,09/02/10
DSDC,0,10/04/10
DSDC,0,11/12/10
DSDC,0,01/31/11
DSDC,0,02/11/11
DSDC,0,03/02/11
DSDC,0,04/04/11
DSDC,0,05/01/11
DSDC,0,06/07/11
DSDC,3,07/05/11
DSDC,22,08/01/11
DSDC,39,09/10/11
DSDC,48,10/01/11
DSDC,40,11/01/11
DSDC,72,12/06/11
DSDC,63,01/03/12
DSDC,75,02/01/12
DSDC,154,03/01/12
DSDC,93,04/01/12
DSDC,136,05/01/12
DSDC,138,06/01/12
DSDC,75,07/01/12
DSDC,108,08/06/12
DSDC,301,09/01/12
DSDC,78,10/01/12
DSDC,382,11/01/12
DSDC,221,12/01/12
DSDC,174,01/01/13
DSDC,148,02/01/13
DSDC,485,03/01/13
DSDC,129,04/01/13
DSDC,375,05/01/13
DSDC,231,06/01/13
DSDC,177,07/01/13
DSDC,184,08/01/13
DSDC,514,09/02/13
