key,value,date
SPDC,2,08/10/09
SPDC,1,08/11/09
SPDC,5,08/12/09
SPDC,2,08/13/09
SPDC,1,08/14/09
SPDC,1,08/15/09
SPDC,1,08/19/09
SPDC,2,08/20/09
SPDC,1,08/26/09
SPDC,1,08/28/09
SPDC,1,09/01/09
SPDC,1,09/03/09
SPDC,1,09/04/09
SPDC,1,09/15/09
SPDC,1,09/17/09
SPDC,1,09/21/09
SPDC,2,09/23/09
SPDC,1,09/24/09
SPDC,1,09/28/09
SPDC,1,10/14/09
SPDC,1,10/15/09
SPDC,1,10/16/09
SPDC,3,02/15/10
SPDC,3,02/16/10
SPDC,6,02/25/10
SPDC,2,02/27/10
SPDC,1,03/08/10
SPDC,4,03/10/10
SPDC,2,04/13/10
SPDC,1,04/14/10
SPDC,4,04/15/10
SPDC,3,04/16/10
SPDC,1,04/19/10
SPDC,1,04/24/10
SPDC,1,04/25/10
SPDC,1,04/28/10
SPDC,2,04/29/10
SPDC,3,05/05/10
SPDC,1,05/07/10
SPDC,2,05/19/10
SPDC,3,06/07/10
SPDC,7,06/08/10
SPDC,2,06/09/10
SPDC,1,06/17/10
SPDC,1,06/21/10
SPDC,1,06/23/10
SPDC,1,06/24/10
SPDC,2,07/13/10
SPDC,1,07/16/10
SPDC,1,07/17/10
SPDC,1,07/18/10
SPDC,2,07/19/10
SPDC,3,07/20/10
SPDC,1,07/27/10
SPDC,1,07/30/10
SPDC,4,08/06/10
SPDC,1,08/08/10
SPDC,2,08/10/10
SPDC,1,08/11/10
SPDC,1,08/13/10
SPDC,2,08/16/10
SPDC,1,08/17/10
SPDC,1,08/22/10
SPDC,1,08/24/10
SPDC,2,08/26/10
SPDC,1,09/02/10
SPDC,2,09/09/10
SPDC,1,09/13/10
SPDC,1,09/19/10
SPDC,1,09/21/10
SPDC,1,09/27/10
SPDC,1,09/28/10
SPDC,2,10/04/10
SPDC,4,10/05/10
SPDC,2,10/06/10
SPDC,1,10/15/10
SPDC,1,10/16/10
SPDC,1,10/17/10
SPDC,2,10/18/10
SPDC,11,11/12/10
SPDC,1,11/18/10
SPDC,1,11/22/10
SPDC,3,11/23/10
SPDC,1,01/31/11
SPDC,16,02/11/11
SPDC,4,02/12/11
SPDC,1,02/13/11
SPDC,2,02/15/11
SPDC,7,02/17/11
SPDC,1,02/18/11
SPDC,1,02/20/11
SPDC,3,02/21/11
SPDC,5,02/23/11
SPDC,7,02/24/11
SPDC,1,02/25/11
SPDC,1,02/26/11
SPDC,1,02/27/11
SPDC,2,02/28/11
SPDC,1,03/02/11
SPDC,1,03/04/11
SPDC,1,03/07/11
SPDC,3,03/10/11
SPDC,10,03/11/11
SPDC,1,03/12/11
SPDC,1,03/13/11
SPDC,2,03/14/11
SPDC,2,03/15/11
SPDC,1,03/16/11
SPDC,8,03/17/11
SPDC,2,03/18/11
SPDC,1,03/19/11
SPDC,5,03/21/11
SPDC,5,03/22/11
SPDC,3,03/23/11
SPDC,8,03/24/11
SPDC,1,03/26/11
SPDC,2,04/04/11
SPDC,1,04/12/11
SPDC,1,04/15/11
SPDC,1,04/17/11
SPDC,1,04/18/11
SPDC,4,04/20/11
SPDC,1,04/21/11
SPDC,1,04/24/11
SPDC,18,04/27/11
SPDC,4,04/28/11
SPDC,1,04/29/11
SPDC,1,05/01/11
SPDC,2,05/02/11
SPDC,1,05/03/11
SPDC,3,05/04/11
SPDC,1,05/05/11
SPDC,1,05/06/11
SPDC,2,05/08/11
SPDC,6,05/10/11
SPDC,3,05/12/11
SPDC,2,05/13/11
SPDC,2,05/14/11
SPDC,1,05/15/11
SPDC,6,05/16/11
SPDC,6,05/17/11
SPDC,1,05/18/11
SPDC,1,06/07/11
SPDC,3,06/08/11
SPDC,2,06/16/11
SPDC,2,06/17/11
SPDC,1,06/24/11
SPDC,1,06/25/11
SPDC,12,07/05/11
SPDC,14,07/06/11
SPDC,3,07/07/11
SPDC,1,07/08/11
SPDC,1,07/10/11
SPDC,3,07/11/11
SPDC,1,07/12/11
SPDC,5,07/14/11
SPDC,1,07/15/11
SPDC,1,07/18/11
SPDC,3,07/19/11
SPDC,2,07/20/11
SPDC,5,07/21/11
SPDC,0,07/31/11
SPDC,8,08/01/11
SPDC,7,08/02/11
SPDC,1,08/03/11
SPDC,0,08/04/11
SPDC,1,08/05/11
SPDC,1,08/07/11
SPDC,1,08/09/11
SPDC,0,08/10/11
SPDC,3,08/11/11
SPDC,1,08/14/11
SPDC,1,08/17/11
SPDC,9,08/18/11
SPDC,2,08/19/11
SPDC,1,08/20/11
SPDC,2,08/21/11
SPDC,2,08/22/11
SPDC,3,08/23/11
SPDC,12,08/24/11
SPDC,5,08/25/11
SPDC,0,09/10/11
SPDC,0,09/11/11
SPDC,0,09/12/11
SPDC,0,09/13/11
SPDC,0,09/14/11
SPDC,0,09/15/11
SPDC,0,09/19/11
SPDC,0,09/20/11
SPDC,0,09/21/11
SPDC,0,09/25/11
SPDC,0,09/26/11
SPDC,25,09/29/11
SPDC,6,09/30/11
SPDC,2,10/01/11
SPDC,2,10/02/11
SPDC,9,10/03/11
SPDC,9,10/04/11
SPDC,1,10/05/11
SPDC,1,10/10/11
SPDC,0,10/12/11
SPDC,0,10/13/11
SPDC,0,10/14/11
SPDC,0,10/15/11
SPDC,0,10/16/11
SPDC,0,10/17/11
SPDC,0,10/18/11
SPDC,0,10/19/11
SPDC,0,10/21/11
SPDC,37,10/24/11
SPDC,7,10/25/11
SPDC,1,10/26/11
SPDC,1,10/27/11
SPDC,1,10/28/11
SPDC,1,10/31/11
SPDC,1,11/01/11
SPDC,6,11/02/11
SPDC,1,11/03/11
SPDC,0,11/04/11
SPDC,1,11/05/11
SPDC,0,11/06/11
SPDC,5,11/07/11
SPDC,2,11/08/11
SPDC,4,11/09/11
SPDC,1,11/10/11
SPDC,1,11/11/11
SPDC,2,11/12/11
SPDC,1,11/13/11
SPDC,4,11/14/11
SPDC,0,11/15/11
SPDC,0,11/18/11
SPDC,0,11/20/11
SPDC,0,11/21/11
SPDC,0,11/22/11
SPDC,0,11/23/11
SPDC,0,11/25/11
SPDC,0,11/26/11
SPDC,0,11/28/11
SPDC,0,12/06/11
SPDC,0,12/07/11
SPDC,0,12/08/11
SPDC,0,12/09/11
SPDC,0,12/10/11
SPDC,0,12/11/11
SPDC,0,12/12/11
SPDC,0,12/13/11
SPDC,0,12/14/11
SPDC,0,12/15/11
SPDC,0,12/16/11
SPDC,0,12/17/11
SPDC,0,12/18/11
SPDC,0,12/19/11
SPDC,0,12/20/11
SPDC,0,12/21/11
SPDC,0,12/26/11
SPDC,0,12/27/11
SPDC,0,12/28/11
SPDC,0,12/31/11
SPDC,0,01/03/12
SPDC,0,01/06/12
SPDC,0,01/08/12
SPDC,0,01/09/12
SPDC,0,01/10/12
SPDC,0,01/11/12
SPDC,0,01/12/12
SPDC,0,01/13/12
SPDC,0,01/14/12
SPDC,0,01/17/12
SPDC,15,01/18/12
SPDC,5,01/19/12
SPDC,1,01/20/12
SPDC,1,01/21/12
SPDC,1,01/22/12
SPDC,0,01/23/12
SPDC,0,01/24/12
SPDC,11,01/25/12
SPDC,1,01/26/12
SPDC,1,01/27/12
SPDC,7,01/29/12
SPDC,12,01/30/12
SPDC,3,01/31/12
SPDC,2,02/01/12
SPDC,7,02/02/12
SPDC,2,02/03/12
SPDC,2,02/04/12
SPDC,1,02/05/12
SPDC,3,02/06/12
SPDC,1,02/07/12
SPDC,6,02/08/12
SPDC,2,02/09/12
