key,value,date
DVDC,0,08/10/09
DVDC,0,08/11/09
DVDC,0,08/12/09
DVDC,0,08/13/09
DVDC,0,08/14/09
DVDC,0,08/15/09
DVDC,0,08/19/09
DVDC,0,08/20/09
DVDC,0,08/26/09
DVDC,0,08/28/09
DVDC,0,09/01/09
DVDC,0,09/03/09
DVDC,0,09/04/09
DVDC,0,09/15/09
DVDC,0,09/17/09
DVDC,0,09/21/09
DVDC,0,09/23/09
DVDC,0,09/24/09
DVDC,0,09/28/09
DVDC,0,10/14/09
DVDC,0,10/15/09
DVDC,0,10/16/09
DVDC,0,02/15/10
DVDC,0,02/16/10
DVDC,0,02/25/10
DVDC,0,02/27/10
DVDC,0,03/08/10
DVDC,0,03/10/10
DVDC,0,04/13/10
DVDC,0,04/14/10
DVDC,0,04/15/10
DVDC,0,04/16/10
DVDC,0,04/19/10
DVDC,0,04/24/10
DVDC,0,04/25/10
DVDC,0,04/28/10
DVDC,0,04/29/10
DVDC,0,05/05/10
DVDC,0,05/07/10
DVDC,0,05/19/10
DVDC,0,06/07/10
DVDC,0,06/08/10
DVDC,0,06/09/10
DVDC,0,06/17/10
DVDC,0,06/21/10
DVDC,0,06/23/10
DVDC,0,06/24/10
DVDC,0,07/13/10
DVDC,0,07/16/10
DVDC,0,07/17/10
DVDC,0,07/18/10
DVDC,0,07/19/10
DVDC,0,07/20/10
DVDC,0,07/27/10
DVDC,0,07/30/10
DVDC,0,08/06/10
DVDC,0,08/08/10
DVDC,0,08/10/10
DVDC,0,08/11/10
DVDC,0,08/13/10
DVDC,0,08/16/10
DVDC,0,08/17/10
DVDC,0,08/22/10
DVDC,0,08/24/10
DVDC,0,08/26/10
DVDC,0,09/02/10
DVDC,0,09/09/10
DVDC,0,09/13/10
DVDC,0,09/19/10
DVDC,0,09/21/10
DVDC,0,09/27/10
DVDC,0,09/28/10
DVDC,0,10/04/10
DVDC,0,10/05/10
DVDC,0,10/06/10
DVDC,0,10/15/10
DVDC,0,10/16/10
DVDC,0,10/17/10
DVDC,0,10/18/10
DVDC,0,11/12/10
DVDC,0,11/18/10
DVDC,0,11/22/10
DVDC,0,11/23/10
DVDC,0,01/31/11
DVDC,0,02/11/11
DVDC,0,02/12/11
DVDC,0,02/13/11
DVDC,0,02/15/11
DVDC,0,02/17/11
DVDC,0,02/18/11
DVDC,0,02/20/11
DVDC,0,02/21/11
DVDC,0,02/23/11
DVDC,0,02/24/11
DVDC,0,02/25/11
DVDC,0,02/26/11
DVDC,0,02/27/11
DVDC,0,02/28/11
DVDC,0,03/02/11
DVDC,0,03/04/11
DVDC,0,03/07/11
DVDC,0,03/10/11
DVDC,0,03/11/11
DVDC,0,03/12/11
DVDC,0,03/13/11
DVDC,0,03/14/11
DVDC,0,03/15/11
DVDC,0,03/16/11
DVDC,0,03/17/11
DVDC,0,03/18/11
DVDC,0,03/19/11
DVDC,0,03/21/11
DVDC,0,03/22/11
DVDC,0,03/23/11
DVDC,0,03/24/11
DVDC,0,03/26/11
DVDC,0,04/04/11
DVDC,0,04/12/11
DVDC,0,04/15/11
DVDC,0,04/17/11
DVDC,0,04/18/11
DVDC,0,04/20/11
DVDC,0,04/21/11
DVDC,0,04/24/11
DVDC,0,04/27/11
DVDC,0,04/28/11
DVDC,0,04/29/11
DVDC,0,05/01/11
DVDC,0,05/02/11
DVDC,0,05/03/11
DVDC,0,05/04/11
DVDC,0,05/05/11
DVDC,0,05/06/11
DVDC,0,05/08/11
DVDC,0,05/10/11
DVDC,0,05/12/11
DVDC,0,05/13/11
DVDC,0,05/14/11
DVDC,0,05/15/11
DVDC,0,05/16/11
DVDC,0,05/17/11
DVDC,0,05/18/11
DVDC,0,06/07/11
DVDC,0,06/08/11
DVDC,0,06/16/11
DVDC,0,06/17/11
DVDC,0,06/24/11
DVDC,0,06/25/11
DVDC,0,07/05/11
DVDC,0,07/06/11
DVDC,0,07/07/11
DVDC,0,07/08/11
DVDC,0,07/10/11
DVDC,0,07/11/11
DVDC,0,07/12/11
DVDC,0,07/14/11
DVDC,0,07/15/11
DVDC,0,07/18/11
DVDC,0,07/19/11
DVDC,0,07/20/11
DVDC,0,07/21/11
DVDC,0,07/31/11
DVDC,0,08/01/11
DVDC,0,08/02/11
DVDC,0,08/03/11
DVDC,0,08/04/11
DVDC,0,08/05/11
DVDC,0,08/07/11
DVDC,0,08/09/11
DVDC,0,08/10/11
DVDC,0,08/11/11
DVDC,0,08/14/11
DVDC,0,08/17/11
DVDC,0,08/18/11
DVDC,0,08/19/11
DVDC,0,08/20/11
DVDC,0,08/21/11
DVDC,0,08/22/11
DVDC,0,08/23/11
DVDC,0,08/24/11
DVDC,0,08/25/11
DVDC,0,09/10/11
DVDC,0,09/11/11
DVDC,0,09/12/11
DVDC,0,09/13/11
DVDC,0,09/14/11
DVDC,0,09/15/11
DVDC,0,09/19/11
DVDC,0,09/20/11
DVDC,0,09/21/11
DVDC,0,09/25/11
DVDC,0,09/26/11
DVDC,0,09/29/11
DVDC,0,09/30/11
DVDC,0,10/01/11
DVDC,0,10/02/11
DVDC,0,10/03/11
DVDC,0,10/04/11
DVDC,0,10/05/11
DVDC,0,10/10/11
DVDC,0,10/12/11
DVDC,0,10/13/11
DVDC,0,10/14/11
DVDC,0,10/15/11
DVDC,0,10/16/11
DVDC,0,10/17/11
DVDC,0,10/18/11
DVDC,0,10/19/11
DVDC,0,10/21/11
DVDC,0,10/24/11
DVDC,0,10/25/11
DVDC,0,10/26/11
DVDC,0,10/27/11
DVDC,0,10/28/11
DVDC,0,10/31/11
DVDC,0,11/01/11
DVDC,0,11/02/11
DVDC,0,11/03/11
DVDC,0,11/04/11
DVDC,0,11/05/11
DVDC,0,11/06/11
DVDC,0,11/07/11
DVDC,0,11/08/11
DVDC,0,11/09/11
DVDC,0,11/10/11
DVDC,0,11/11/11
DVDC,0,11/12/11
DVDC,0,11/13/11
DVDC,0,11/14/11
DVDC,0,11/15/11
DVDC,0,11/18/11
DVDC,0,11/20/11
DVDC,0,11/21/11
DVDC,0,11/22/11
DVDC,0,11/23/11
DVDC,0,11/25/11
DVDC,0,11/26/11
DVDC,0,11/28/11
DVDC,0,12/06/11
DVDC,0,12/07/11
DVDC,0,12/08/11
DVDC,0,12/09/11
DVDC,0,12/10/11
DVDC,0,12/11/11
DVDC,0,12/12/11
DVDC,0,12/13/11
DVDC,0,12/14/11
DVDC,0,12/15/11
DVDC,0,12/16/11
DVDC,0,12/17/11
DVDC,0,12/18/11
DVDC,0,12/19/11
DVDC,0,12/20/11
DVDC,0,12/21/11
DVDC,0,12/26/11
DVDC,0,12/27/11
DVDC,0,12/28/11
DVDC,0,12/31/11
DVDC,0,01/03/12
DVDC,0,01/06/12
DVDC,0,01/08/12
DVDC,0,01/09/12
DVDC,0,01/10/12
DVDC,0,01/11/12
DVDC,0,01/12/12
DVDC,0,01/13/12
DVDC,0,01/14/12
DVDC,0,01/17/12
DVDC,0,01/18/12
DVDC,0,01/19/12
DVDC,0,01/20/12
DVDC,0,01/21/12
DVDC,0,01/22/12
DVDC,0,01/23/12
DVDC,0,01/24/12
DVDC,0,01/25/12
DVDC,0,01/26/12
DVDC,0,01/27/12
DVDC,0,01/29/12
DVDC,0,01/30/12
DVDC,0,01/31/12
DVDC,0,02/01/12
DVDC,0,02/02/12
DVDC,0,02/03/12
DVDC,0,02/04/12
DVDC,0,02/05/12
DVDC,0,02/06/12
DVDC,0,02/07/12
DVDC,0,02/08/12
DVDC,0,02/09/12
DVDC,0,02/11/12
DVDC,0,02/13/12
DVDC,0,02/14/12
DVDC,0,02/15/12
DVDC,0,02/16/12
DVDC,0,02/18/12
DVDC,0,02/19/12
DVDC,0,02/20/12
DVDC,0,02/21/12
DVDC,0,02/25/12
DVDC,0,02/26/12
DVDC,0,02/27/12
DVDC,0,02/28/12
DVDC,0,02/29/12
DVDC,0,03/01/12
DVDC,0,03/02/12
DVDC,0,03/04/12
DVDC,0,03/05/12
DVDC,0,03/06/12
DVDC,0,03/07/12
DVDC,0,03/08/12
DVDC,0,03/09/12
DVDC,0,03/10/12
DVDC,0,03/12/12
DVDC,0,03/13/12
DVDC,0,03/14/12
DVDC,0,03/15/12
DVDC,0,03/16/12
DVDC,0,03/17/12
DVDC,0,03/18/12
DVDC,0,03/19/12
DVDC,0,03/20/12
DVDC,0,03/21/12
DVDC,0,03/22/12
DVDC,0,03/23/12
DVDC,0,03/24/12
DVDC,0,03/25/12
DVDC,0,03/26/12
DVDC,0,03/27/12
DVDC,0,03/28/12
DVDC,0,03/29/12
DVDC,0,04/01/12
DVDC,0,04/02/12
DVDC,0,04/03/12
DVDC,0,04/04/12
DVDC,0,04/05/12
DVDC,0,04/06/12
DVDC,0,04/07/12
DVDC,0,04/09/12
DVDC,0,04/10/12
DVDC,0,04/13/12
DVDC,0,04/15/12
DVDC,0,04/16/12
DVDC,0,04/17/12
DVDC,0,04/18/12
DVDC,0,04/19/12
DVDC,0,04/21/12
DVDC,0,04/22/12
DVDC,0,04/23/12
DVDC,0,04/24/12
DVDC,0,04/25/12
DVDC,0,04/26/12
DVDC,0,04/27/12
DVDC,0,04/28/12
DVDC,0,04/29/12
DVDC,0,04/30/12
DVDC,0,05/01/12
DVDC,0,05/02/12
DVDC,0,05/03/12
DVDC,0,05/04/12
DVDC,0,05/05/12
DVDC,0,05/06/12
DVDC,0,05/07/12
DVDC,0,05/08/12
DVDC,0,05/09/12
DVDC,0,05/10/12
DVDC,0,05/11/12
DVDC,0,05/13/12
DVDC,0,05/14/12
DVDC,0,05/15/12
DVDC,0,05/16/12
DVDC,0,05/17/12
DVDC,0,05/19/12
DVDC,0,05/21/12
DVDC,0,05/22/12
DVDC,0,05/23/12
DVDC,0,05/24/12
DVDC,0,05/25/12
DVDC,0,05/26/12
DVDC,0,05/27/12
DVDC,0,05/28/12
DVDC,0,05/29/12
DVDC,0,05/30/12
DVDC,0,05/31/12
DVDC,0,06/01/12
DVDC,0,06/02/12
DVDC,0,06/03/12
DVDC,0,06/04/12
DVDC,0,06/05/12
DVDC,0,06/06/12
DVDC,0,06/07/12
DVDC,0,06/08/12
DVDC,0,06/09/12
DVDC,0,06/10/12
DVDC,0,06/12/12
DVDC,0,06/13/12
DVDC,0,06/14/12
DVDC,0,06/16/12
DVDC,0,06/17/12
DVDC,0,06/18/12
DVDC,0,06/19/12
DVDC,0,06/20/12
DVDC,0,06/21/12
DVDC,0,06/22/12
DVDC,0,06/23/12
DVDC,0,06/24/12
DVDC,0,06/25/12
DVDC,0,06/26/12
DVDC,0,06/27/12
DVDC,0,06/28/12
DVDC,0,06/29/12
DVDC,0,06/30/12
DVDC,0,07/01/12
DVDC,0,07/02/12
DVDC,0,07/03/12
DVDC,0,07/04/12
DVDC,0,07/05/12
DVDC,0,07/06/12
DVDC,0,07/07/12
DVDC,0,07/08/12
DVDC,0,07/09/12
DVDC,0,07/10/12
DVDC,0,07/11/12
DVDC,0,07/12/12
DVDC,0,07/13/12
DVDC,0,07/15/12
DVDC,0,07/17/12
DVDC,0,07/18/12
DVDC,0,07/19/12
DVDC,0,07/20/12
DVDC,0,07/21/12
DVDC,0,07/22/12
DVDC,0,07/23/12
DVDC,0,08/06/12
DVDC,0,08/07/12
DVDC,0,08/08/12
DVDC,0,08/09/12
DVDC,0,08/10/12
DVDC,0,08/11/12
DVDC,0,08/12/12
DVDC,0,08/13/12
DVDC,0,08/14/12
DVDC,0,08/15/12
DVDC,0,08/16/12
DVDC,0,08/17/12
DVDC,0,08/18/12
DVDC,0,08/20/12
DVDC,0,08/21/12
DVDC,0,08/22/12
DVDC,0,08/23/12
DVDC,0,08/24/12
DVDC,0,08/25/12
DVDC,0,08/26/12
DVDC,0,08/27/12
DVDC,0,08/28/12
DVDC,0,08/29/12
DVDC,0,08/30/12
DVDC,0,09/01/12
DVDC,0,09/02/12
DVDC,0,09/04/12
DVDC,0,09/06/12
DVDC,0,09/07/12
DVDC,0,09/08/12
DVDC,0,09/09/12
DVDC,0,09/10/12
DVDC,0,09/11/12
DVDC,0,09/12/12
DVDC,0,09/13/12
DVDC,0,09/14/12
DVDC,0,09/15/12
DVDC,0,09/16/12
DVDC,0,09/17/12
DVDC,0,09/18/12
DVDC,0,09/19/12
DVDC,0,09/20/12
DVDC,0,09/21/12
DVDC,0,09/22/12
DVDC,0,09/23/12
DVDC,0,09/24/12
DVDC,0,09/25/12
DVDC,0,09/26/12
DVDC,0,09/27/12
DVDC,0,09/28/12
DVDC,0,09/29/12
DVDC,0,09/30/12
DVDC,0,10/01/12
DVDC,0,10/02/12
DVDC,0,10/03/12
DVDC,0,10/04/12
DVDC,0,10/05/12
DVDC,0,10/06/12
DVDC,0,10/07/12
DVDC,0,10/08/12
DVDC,0,10/09/12
DVDC,0,10/10/12
DVDC,0,10/11/12
DVDC,0,10/12/12
DVDC,0,10/13/12
DVDC,0,10/14/12
DVDC,0,10/15/12
DVDC,0,10/16/12
DVDC,0,10/17/12
DVDC,0,10/18/12
DVDC,0,10/19/12
DVDC,0,10/20/12
DVDC,0,10/21/12
DVDC,0,10/22/12
DVDC,0,10/23/12
DVDC,0,10/24/12
DVDC,0,10/25/12
DVDC,0,10/26/12
DVDC,0,10/28/12
DVDC,0,10/29/12
DVDC,0,10/31/12
DVDC,0,11/01/12
DVDC,0,11/02/12
DVDC,0,11/03/12
DVDC,0,11/04/12
DVDC,0,11/05/12
DVDC,0,11/06/12
DVDC,0,11/07/12
DVDC,0,11/08/12
DVDC,0,11/09/12
DVDC,0,11/10/12
DVDC,0,11/11/12
DVDC,0,11/12/12
DVDC,0,11/13/12
DVDC,0,11/14/12
DVDC,0,11/15/12
DVDC,0,11/16/12
DVDC,0,11/17/12
DVDC,0,11/18/12
DVDC,0,11/19/12
DVDC,0,11/20/12
DVDC,0,11/21/12
DVDC,0,11/22/12
DVDC,0,11/23/12
DVDC,0,11/24/12
DVDC,0,11/25/12
DVDC,0,11/26/12
DVDC,0,11/27/12
DVDC,0,11/28/12
DVDC,0,11/29/12
DVDC,0,11/30/12
DVDC,0,12/01/12
DVDC,0,12/02/12
DVDC,0,12/03/12
DVDC,0,12/04/12
DVDC,0,12/05/12
DVDC,0,12/06/12
DVDC,0,12/07/12
DVDC,0,12/08/12
DVDC,0,12/09/12
DVDC,0,12/10/12
DVDC,0,12/12/12
DVDC,0,12/13/12
DVDC,0,12/14/12
DVDC,0,12/15/12
DVDC,0,12/16/12
DVDC,0,12/17/12
DVDC,0,12/18/12
DVDC,0,12/19/12
DVDC,0,12/20/12
DVDC,0,12/21/12
DVDC,0,12/22/12
DVDC,0,12/23/12
DVDC,0,12/24/12
DVDC,0,12/25/12
DVDC,0,12/26/12
DVDC,0,12/27/12
DVDC,0,12/28/12
DVDC,0,12/29/12
DVDC,0,12/30/12
DVDC,0,12/31/12
DVDC,0,01/01/13
DVDC,0,01/02/13
DVDC,0,01/03/13
DVDC,0,01/04/13
DVDC,0,01/05/13
DVDC,0,01/06/13
DVDC,0,01/07/13
DVDC,0,01/08/13
DVDC,0,01/09/13
DVDC,0,01/10/13
DVDC,0,01/11/13
DVDC,0,01/12/13
DVDC,0,01/13/13
DVDC,0,01/14/13
DVDC,0,01/15/13
DVDC,0,01/16/13
DVDC,0,01/17/13
DVDC,0,01/18/13
DVDC,0,01/19/13
DVDC,0,01/20/13
DVDC,0,01/21/13
DVDC,0,01/22/13
DVDC,0,01/23/13
DVDC,0,01/24/13
DVDC,0,01/25/13
DVDC,0,01/26/13
DVDC,0,01/27/13
DVDC,0,01/28/13
DVDC,0,01/29/13
DVDC,0,01/30/13
DVDC,0,01/31/13
DVDC,0,02/01/13
DVDC,0,02/03/13
DVDC,0,02/04/13
DVDC,0,02/05/13
DVDC,0,02/06/13
DVDC,0,02/07/13
DVDC,34.5,02/08/13
DVDC,3.75,02/09/13
DVDC,0.75,02/10/13
DVDC,3.75,02/11/13
DVDC,11.25,02/12/13
DVDC,3.75,02/13/13
DVDC,1.5,02/14/13
DVDC,1.5,02/15/13
DVDC,0,02/16/13
DVDC,3.0,02/17/13
DVDC,9.0,02/18/13
DVDC,0,02/19/13
DVDC,0,02/20/13
DVDC,0,02/21/13
DVDC,0,02/22/13
DVDC,0,02/23/13
DVDC,0,02/24/13
DVDC,0,02/25/13
DVDC,0,02/26/13
DVDC,0,02/27/13
DVDC,0,02/28/13
DVDC,0,03/01/13
DVDC,0,03/02/13
DVDC,0,03/03/13
DVDC,0,03/04/13
DVDC,0,03/05/13
DVDC,2.25,03/06/13
DVDC,2.25,03/07/13
DVDC,1.5,03/08/13
DVDC,0,03/09/13
DVDC,0,03/10/13
DVDC,0,03/11/13
DVDC,0,03/12/13
DVDC,0,03/13/13
DVDC,40.5,03/14/13
DVDC,6.0,03/15/13
DVDC,3.75,03/16/13
DVDC,3.0,03/17/13
DVDC,4.5,03/18/13
DVDC,12.75,03/19/13
DVDC,7.5,03/20/13
DVDC,4.5,03/21/13
DVDC,3.0,03/22/13
DVDC,2.25,03/23/13
DVDC,6.0,03/24/13
DVDC,10.5,03/25/13
DVDC,0,03/26/13
DVDC,0,03/27/13
DVDC,0,03/28/13
DVDC,0,03/29/13
DVDC,0,03/30/13
DVDC,0,03/31/13
DVDC,0,04/01/13
DVDC,0,04/02/13
DVDC,0,04/03/13
DVDC,0,04/04/13
DVDC,0,04/05/13
DVDC,0,04/06/13
DVDC,0,04/07/13
DVDC,0,04/08/13
DVDC,0,04/09/13
DVDC,0,04/10/13
DVDC,0,04/11/13
DVDC,53.25,04/12/13
DVDC,6.75,04/13/13
DVDC,5.25,04/14/13
DVDC,12.0,04/15/13
DVDC,18.0,04/16/13
DVDC,6.0,04/17/13
DVDC,6.0,04/18/13
DVDC,3.75,04/19/13
DVDC,3.75,04/20/13
DVDC,5.25,04/21/13
DVDC,0,04/22/13
DVDC,0,04/23/13
DVDC,0,04/24/13
DVDC,0,04/25/13
DVDC,0,04/26/13
DVDC,0,04/27/13
DVDC,0,04/28/13
DVDC,0,04/29/13
DVDC,0,04/30/13
DVDC,0,05/01/13
DVDC,0,05/02/13
DVDC,0,05/03/13
DVDC,0,05/04/13
DVDC,0,05/05/13
DVDC,0,05/06/13
DVDC,0,05/07/13
DVDC,0,05/08/13
DVDC,0,05/09/13
DVDC,0,05/10/13
DVDC,0,05/11/13
DVDC,0,05/12/13
DVDC,0,05/13/13
DVDC,0,05/14/13
DVDC,0,05/15/13
DVDC,0,05/16/13
DVDC,0,05/17/13
DVDC,0,05/18/13
DVDC,0,05/19/13
DVDC,0,05/20/13
DVDC,48.75,05/21/13
DVDC,7.5,05/22/13
DVDC,15.75,05/23/13
DVDC,3.0,05/24/13
DVDC,3.0,05/25/13
DVDC,1.5,05/26/13
DVDC,2.25,05/27/13
DVDC,2.25,05/28/13
DVDC,1.5,05/29/13
DVDC,10.5,05/30/13
DVDC,4.5,05/31/13
DVDC,3.0,06/01/13
DVDC,0.75,06/02/13
DVDC,15.75,06/03/13
DVDC,15.0,06/04/13
DVDC,7.5,06/05/13
DVDC,0,06/06/13
DVDC,0,06/07/13
DVDC,0,06/08/13
