Date ,Total Members ,Active Members
6/9/12,3,3
6/10/12,5,5
6/11/12,5,5
6/12/12,5,5
6/13/12,5,5
6/14/12,5,5
6/15/12,5,5
6/16/12,27,27
6/17/12,27,27
6/18/12,27,27
6/19/12,43,43
6/20/12,44,44
6/21/12,44,44
6/22/12,46,46
6/23/12,46,46
6/24/12,46,46
6/25/12,46,46
6/26/12,46,46
6/27/12,46,46
6/28/12,46,46
6/29/12,46,46
6/30/12,46,46
7/1/12,46,46
7/2/12,46,46
7/3/12,46,46
7/4/12,46,46
7/5/12,46,46
7/6/12,46,46
7/7/12,46,46
7/8/12,46,46
7/9/12,46,45
7/10/12,46,44
7/11/12,46,44
7/12/12,46,44
7/13/12,46,44
7/14/12,46,44
7/15/12,46,33
7/16/12,46,21
7/17/12,46,18
7/18/12,46,13
7/19/12,47,8
7/20/12,47,7
7/21/12,47,6
7/22/12,47,5
7/23/12,47,6
7/24/12,47,6
7/25/12,47,6
7/26/12,47,5
7/27/12,47,4
7/28/12,47,4
7/29/12,47,4
7/30/12,47,4
7/31/12,47,4
8/1/12,47,4
8/2/12,47,4
8/3/12,48,5
8/4/12,48,5
8/5/12,48,5
8/6/12,48,5
8/7/12,48,5
8/8/12,48,5
8/9/12,48,5
8/10/12,48,5
8/11/12,48,5
8/12/12,48,4
8/13/12,48,4
8/14/12,48,4
8/15/12,48,4
8/16/12,48,4
8/17/12,48,4
8/18/12,48,3
8/19/12,48,3
8/20/12,48,3
8/21/12,48,3
8/22/12,48,2
8/23/12,48,2
8/24/12,48,2
8/25/12,48,3
8/26/12,48,3
8/27/12,48,3
8/28/12,48,3
8/29/12,51,6
8/30/12,51,6
8/31/12,51,6
9/1/12,51,5
9/2/12,51,5
9/3/12,51,5
9/4/12,51,5
9/5/12,51,6
9/6/12,51,6
9/7/12,51,6
9/8/12,51,7
9/9/12,51,7
9/10/12,51,7
9/11/12,51,7
9/12/12,51,7
9/13/12,51,7
9/14/12,51,7
9/15/12,51,7
9/16/12,51,7
9/17/12,51,8
9/18/12,51,8
9/19/12,51,8
9/20/12,51,8
9/21/12,51,9
9/22/12,51,9
9/23/12,51,9
9/24/12,51,10
9/25/12,51,10
9/26/12,51,10
9/27/12,51,10
9/28/12,51,8
9/29/12,51,8
9/30/12,51,8
10/1/12,51,8
10/2/12,51,9
10/3/12,51,9
10/4/12,51,9
10/5/12,52,9
10/6/12,52,9
10/7/12,53,10
10/8/12,53,18
10/9/12,53,20
10/10/12,54,22
10/11/12,54,23
10/12/12,54,23
10/13/12,56,25
10/14/12,56,25
10/15/12,58,27
10/16/12,64,34
10/17/12,82,52
10/18/12,91,62
10/19/12,94,65
10/20/12,101,73
10/21/12,101,72
10/22/12,104,76
10/23/12,114,89
10/24/12,120,95
10/25/12,120,95
10/26/12,120,95
10/27/12,120,95
10/28/12,120,95
10/29/12,120,95
10/30/12,120,95
10/31/12,122,97
11/1/12,122,97
11/2/12,123,98
11/3/12,123,98
11/4/12,123,98
11/5/12,123,98
11/6/12,125,101
11/7/12,126,97
11/8/12,125,96
11/9/12,125,97
11/10/12,127,99
11/11/12,127,99
11/12/12,128,100
11/13/12,130,103
11/14/12,134,104
11/15/12,134,103
11/16/12,136,103
11/17/12,137,101
11/18/12,137,100
11/19/12,138,99
11/20/12,141,103
11/21/12,147,109
11/22/12,149,105
11/23/12,150,92
11/24/12,150,87
11/25/12,153,89
11/26/12,154,90
11/27/12,157,95
11/28/12,160,99
11/29/12,172,112
11/30/12,180,119
12/1/12,181,122
12/2/12,182,124
12/3/12,185,127
12/4/12,203,148
12/5/12,208,154
12/6/12,212,157
12/7/12,213,158
12/8/12,213,157
12/9/12,213,155
12/10/12,213,153
12/11/12,215,154
12/12/12,217,155
12/13/12,218,155
12/14/12,218,152
12/15/12,219,152
12/16/12,221,151
12/17/12,221,149
12/18/12,221,149
12/19/12,221,149
12/20/12,222,148
12/21/12,223,145
12/22/12,224,144
12/23/12,225,145
12/24/12,225,145
12/25/12,225,144
12/26/12,225,142
12/27/12,225,141
12/28/12,228,144
12/29/12,229,139
12/30/12,230,135
12/31/12,231,133
1/1/13,233,150
1/2/13,235,153
1/3/13,240,152
1/4/13,241,143
1/5/13,246,129
1/6/13,248,123
1/7/13,249,125
1/8/13,252,127
1/9/13,253,127
1/10/13,253,124
1/11/13,255,126
1/12/13,257,128
1/13/13,258,131
1/14/13,260,136
1/15/13,261,138
1/16/13,265,146
1/17/13,267,148
1/18/13,270,152
1/19/13,274,153
1/20/13,275,154
1/21/13,275,154
1/22/13,277,156
1/23/13,277,156
1/24/13,281,162
1/25/13,284,167
1/26/13,286,175
1/27/13,288,174
1/28/13,290,176
1/29/13,307,196
1/30/13,314,209
1/31/13,329,213
2/1/13,333,214
2/2/13,335,208
2/3/13,335,205
2/4/13,335,202
2/5/13,336,203
2/6/13,341,205
2/7/13,342,203
2/8/13,343,202
2/9/13,344,200
2/10/13,344,198
2/11/13,344,198
2/12/13,347,214
2/13/13,347,216
2/14/13,350,219
2/15/13,350,216
2/16/13,352,218
2/17/13,353,218
2/18/13,354,217
2/19/13,355,219
2/20/13,358,221
2/21/13,359,219
2/22/13,361,219
2/23/13,362,218
2/24/13,363,217
2/25/13,367,216
2/26/13,370,218
2/27/13,373,222
2/28/13,376,211
3/1/13,378,208
3/2/13,381,189
3/3/13,384,189
3/4/13,388,196
3/5/13,407,218
3/6/13,410,221
3/7/13,412,225
3/8/13,412,222
3/9/13,414,227
3/10/13,416,226
3/11/13,418,228
3/12/13,426,235
3/13/13,434,252
3/14/13,440,249
3/15/13,442,246
3/16/13,443,248
3/17/13,446,249
3/18/13,447,251
3/19/13,447,250
3/20/13,448,252
3/21/13,450,255
3/22/13,450,254
3/23/13,451,254
3/24/13,454,254
3/25/13,457,257
3/26/13,458,260
3/27/13,459,261
3/28/13,460,261
3/29/13,461,259
3/30/13,461,256
3/31/13,461,248
4/1/13,462,245
4/2/13,464,247
4/3/13,463,242
4/4/13,465,237
4/5/13,470,233
4/6/13,470,229
4/7/13,471,229
4/8/13,472,222
4/9/13,476,224
4/10/13,479,225
4/11/13,481,223
4/12/13,483,211
4/13/13,490,187
4/14/13,491,178
4/15/13,493,175
