Date ,Total Members ,Active Members
2/1/13,5,5
2/2/13,13,13
2/3/13,13,13
2/4/13,119,119
2/5/13,225,225
2/6/13,250,250
2/7/13,260,260
2/8/13,262,262
2/9/13,273,273
2/10/13,277,277
2/11/13,280,280
2/12/13,285,285
2/13/13,292,292
2/14/13,295,295
2/15/13,296,296
2/16/13,299,299
2/17/13,301,301
2/18/13,303,303
2/19/13,317,317
2/20/13,320,320
2/21/13,324,324
2/22/13,327,327
2/23/13,328,328
2/24/13,329,329
2/25/13,329,329
2/26/13,330,330
2/27/13,331,331
2/28/13,331,331
3/1/13,332,332
3/2/13,335,335
3/3/13,337,336
3/4/13,338,336
3/5/13,338,336
3/6/13,339,291
3/7/13,344,256
3/8/13,349,255
3/9/13,354,255
3/10/13,358,252
3/11/13,358,229
3/12/13,360,230
3/13/13,362,231
3/14/13,362,227
3/15/13,367,234
3/16/13,374,240
3/17/13,375,243
3/18/13,377,245
3/19/13,382,246
3/20/13,391,251
3/21/13,396,246
3/22/13,401,242
3/23/13,408,249
3/24/13,412,247
3/25/13,421,263
3/26/13,441,285
3/27/13,442,286
3/28/13,443,286
3/29/13,446,290
3/30/13,448,293
3/31/13,449,293
4/1/13,449,289
4/2/13,450,290
4/3/13,450,290
4/4/13,451,290
4/5/13,451,289
4/6/13,454,276
4/7/13,455,274
4/8/13,456,265
4/9/13,458,266
4/10/13,458,267
4/11/13,461,267
4/12/13,461,267
4/13/13,476,301
4/14/13,483,295
4/15/13,488,296
4/16/13,501,313
4/17/13,518,329
4/18/13,524,339
4/19/13,532,343
4/20/13,531,336
4/21/13,536,337
4/22/13,541,344
4/23/13,557,366
4/24/13,560,362
4/25/13,563,344
4/26/13,564,332
4/27/13,566,328
4/28/13,567,327
4/29/13,568,327
4/30/13,569,328
5/1/13,570,329
5/2/13,569,327
5/3/13,571,328
5/4/13,573,327
5/5/13,573,326
5/6/13,575,328
5/7/13,575,329
5/8/13,575,328
5/9/13,577,328
5/10/13,579,328
5/11/13,579,328
5/12/13,579,328
5/13/13,581,297
5/14/13,586,304
5/15/13,590,300
5/16/13,594,291
5/17/13,594,277
5/18/13,595,269
5/19/13,598,261
5/20/13,599,260
5/21/13,600,256
5/22/13,602,281
5/23/13,603,241
5/24/13,611,250
5/25/13,617,244
5/26/13,621,245
5/27/13,622,242
5/28/13,625,245
5/29/13,627,248
5/30/13,630,241
5/31/13,637,257
6/1/13,647,271
6/2/13,650,270
6/3/13,651,273
6/4/13,672,297
6/5/13,689,331
6/6/13,698,343
6/7/13,700,345
6/8/13,705,350
6/9/13,706,347
6/10/13,706,343
6/11/13,709,348
6/12/13,711,350
6/13/13,713,348
6/14/13,713,347
6/15/13,714,344
6/16/13,714,344
6/17/13,718,347
6/18/13,719,348
6/19/13,722,352
6/20/13,725,354
6/21/13,726,315
6/22/13,726,307
6/23/13,726,293
6/24/13,727,288
6/25/13,729,287
6/26/13,729,286
6/27/13,731,284
6/28/13,732,282
6/29/13,759,338
6/30/13,763,336
7/1/13,769,336
7/2/13,775,347
7/3/13,782,355
7/4/13,787,354
7/5/13,790,339
7/6/13,796,325
7/7/13,799,305
7/8/13,801,302
7/9/13,831,343
7/10/13,850,380
7/11/13,855,390
7/12/13,858,390
7/13/13,860,391
7/14/13,862,393
7/15/13,863,393
7/16/13,866,396
7/17/13,869,398
7/18/13,868,397
7/19/13,872,398
7/20/13,872,397
7/21/13,873,398
7/22/13,876,400
7/23/13,877,400
7/24/13,876,399
7/25/13,875,399
7/26/13,877,400
7/27/13,880,402
7/28/13,880,400
7/29/13,884,347
7/30/13,889,346
7/31/13,891,343
8/1/13,890,336
8/2/13,892,327
8/3/13,893,320
8/4/13,894,321
8/5/13,894,313
8/6/13,896,310
8/7/13,896,305
8/8/13,896,279
8/9/13,895,242
8/10/13,895,195
8/11/13,896,162
8/12/13,895,160
8/13/13,916,198
8/14/13,920,218
8/15/13,923,227
8/16/13,930,236
8/17/13,934,252
8/18/13,935,252
8/19/13,945,274
8/20/13,960,318
8/21/13,961,318
8/22/13,960,317
8/23/13,962,317
8/24/13,962,314
8/25/13,961,313
8/26/13,961,312
8/27/13,960,312
8/28/13,965,316
8/29/13,967,316
8/30/13,968,317
8/31/13,967,319
9/1/13,967,318
9/2/13,968,319
9/3/13,969,320
9/4/13,970,324
9/5/13,968,323
9/6/13,968,323
9/7/13,968,324
9/8/13,969,322
9/9/13,969,304
9/10/13,971,301
9/11/13,970,297
9/12/13,974,276
9/13/13,977,263
9/14/13,978,258
9/15/13,978,248
9/16/13,979,228
9/17/13,979,226
9/18/13,980,207
9/19/13,980,118
9/20/13,981,105
9/21/13,981,116
9/22/13,980,118
9/23/13,983,121
9/24/13,984,154
9/25/13,985,158
9/26/13,989,175
9/27/13,990,177
9/28/13,992,176
9/29/13,995,176
9/30/13,996,177
10/1/13,1000,182
10/2/13,1000,183
10/3/13,999,185
